ID	orig_x	orig_y	orig_z	Annotation	label_conf	world_x	world_y	world_z
DH0618_MMIR_KAL	-31.96367795	11.21998655	-13.37698372	K23		19.32321884	2.904919661	-8.768949478
DH0619_MMIR_KAL	-34.32485495	9.675458584	-12.75868581	K24		18.61353472	3.580369347	-8.300463385
DH0620_MMIR_KAL	-34.35572837	11.31006862	-12.77990203	K25		19.21988505	3.651998181	-8.228965158
DH0621_MMIR_KAL	-35.95032457	9.310288676	-12.23136358	K26		18.38137187	4.055675697	-7.910803585
DH0622_MMIR_KAL	-35.78057472	7.255091166	-10.85849769	K27		17.58636352	3.729317516	-7.551592595
DH0631_NSEQ	-37.07852205	12.14532487	-11.4863167	K30		19.35660745	4.441255637	-7.367845485
DH0632_NSEQ	-36.51093975	14.25827177	-13.59206126	K31		20.23121136	4.618209943	-8.080031475
DH0627_MMIR_KAL	-39.46304879	18.27112468	-13.59570998	K32		21.57474976	5.783504829	-7.492459443
DH0628_MMIR_KAL	-39.69814229	15.25513256	-12.82520846	K33		20.4201162	5.648772249	-7.330483312
DH0645_MMIR_KAL	26.99860506	17.89521538	-17.45821364	K58		24.86559272	-16.70346356	-17.98250409
DH0646_MMIR_KAL	24.44253774	18.75190854	-15.99576857	K59		25.01368837	-15.99514974	-17.0847257
DH0647_MMIR_KAL	28.36474332	28.8091398	-15.70420233	K60		28.93738094	-17.03871444	-17.06342345
DH0648_MMIR_KAL	19.4501357	31.23091507	-16.37853029	K61		29.41166132	-13.76933494	-15.96186829
DH0649_MMIR_KAL	17.03848345	30.45818531	-14.71955504	K62		28.95589985	-13.19666239	-15.09012345
DH0650_MMIR_KAL	17.44661014	31.94550627	-14.85345676	K63		29.5327274	-13.26633384	-15.1247723
DH0651_MMIR_KAL	13.90230514	30.74645347	-12.41764917	K64		28.83942599	-12.42661867	-13.84730422
DH0652_MMIR_KAL	14.8955784	33.00972691	-13.43686283	K65		29.75950748	-12.54590659	-14.23412186
DH0653_MMIR_KAL	15.43079234	34.90450585	-14.98598638	K66		30.53524371	-12.44442339	-14.75868418
DH0654_MMIR_KAL	10.41684912	34.00171747	-15.09842682	K67		29.95280133	-10.72369749	-14.14992921
DH0655_MMIR_KAL	12.17974401	32.26750445	-14.8724988	K68		29.38996022	-11.42784378	-14.39294577
DH0656_MMIR_KAL	10.81842535	30.31306396	-13.22408278	K69		28.5479262	-11.25937233	-13.72313728
DH0657_MMIR_KAL	7.096432812	22.53006114	-12.73714879	K70		25.45647037	-10.31499128	-13.39801452
DH0658_MMIR_KAL	6.989738555	24.50608011	-11.97101032	K71		26.16295679	-10.31668013	-13.02731854
DH0659_MMIR_KAL	8.641670393	30.09875393	-12.32273584	K72		28.33340079	-10.64081365	-13.1210592
DH0660_MMIR_KAL	8.829545283	32.95741078	-12.48929834	K73		29.40964807	-10.58096417	-13.07417586
DH0661_MMIR_KAL	7.580041656	36.08393113	-13.94442014	K74		30.55115128	-9.830960846	-13.26465157
DH0662_MMIR_KAL	6.342207334	30.4022865	-13.12590331	K75		28.35474177	-9.719628882	-13.06990859
DH0663_MMIR_KAL	1.557216081	24.3128086	-13.94522922	K76		25.87739551	-8.16174308	-12.97465197
DH0664_MMIR_KAL	-4.958144531	36.48647576	-12.53557358	K77		30.03373131	-5.673453244	-11.03453062
DH0665_MMIR_KAL	-5.271504413	38.97069656	-11.90888032	K78		30.92276059	-5.56576748	-10.66062185
DH0666_MMIR_KAL	-8.52120568	36.90689956	-13.35433949	K79		30.03586773	-4.30821867	-10.80982182
DH0667_MMIR_KAL	-9.481676793	24.7252281	-10.31369453	K80		25.3738061	-4.838491892	-10.17888003
DH0668_MMIR_KAL	-13.85838637	24.82802029	-8.911279001	K81		25.15267192	-3.517730843	-9.086165307
DH0669_MMIR_KAL	-14.98353752	26.28493361	-9.46052026	K82		25.6537424	-2.998458631	-9.055623568
DH0670_MMIR_KAL	-11.23132738	40.43754513	-13.0914158	K83		31.20458396	-3.281644159	-10.18501938
DH0671_MMIR_KAL	-11.91676081	37.46873626	-13.43324926	K84		30.07737014	-3.10093721	-10.34496193
DH0672_MMIR_KAL	-15.89413512	40.99464068	-13.25848883	K85		31.18362364	-1.623064571	-9.576829796
DH0679_NSEQ	-17.91605632	41.98240573	-13.36389072	K86		31.45271211	-0.872742028	-9.290474033
DH0680_NSEQ	-23.4253497	27.43092912	-12.40224643	K87		25.74365302	0.38355182	-8.864009639
DH0681_NSEQ	-31.56408378	36.68832774	-15.04026597	K88		28.85332398	3.904943527	-8.238390468
DH0673_MMIR_KAL	-31.5667631	37.77079409	-15.37229027	K89		29.26500078	3.991325547	-8.303814312
DH0674_MMIR_KAL	-32.38133219	38.31226372	-15.76157966	K90		29.43682509	4.347887717	-8.302239424
DH0675_MMIR_KAL	-34.50632646	37.83081438	-15.25939126	K91		29.13725611	4.995667796	-7.857967371
DH0679_MMIR_KAL	-39.87265558	29.70159145	-14.89665418	K92		25.83869758	6.514974435	-7.365789568
DH0680_MMIR_KAL	-42.49592561	35.20509743	-16.62844742	K93		27.80274242	7.864309974	-7.354985218
DH0681_MMIR_KAL	-44.99057	33.6206543	-17.0498199	K94		27.10182503	8.732045047	-7.230723098
DH0682_MMIR_KAL	-42.94187091	45.10145126	-16.50111074	K95		31.45336836	8.351413328	-6.79777074
DH0683_MMIR_KAL	15.00849893	43.2076399	-15.90185162	K102		33.62551489	-11.87400206	-14.63941515
DH0684_MMIR_KAL	12.37836801	43.99679761	-15.39067321	K103		33.77250883	-11.0074977	-14.0646103
DH0685_MMIR_KAL	10.43198012	41.62560684	-14.09586725	K104		32.75673002	-10.6009771	-13.45612446
DH0686_MMIR_KAL	8.796508428	40.03144791	-12.41482008	K105		32.03390753	-10.3294036	-12.72087528
DH0687_MMIR_KAL	3.657618015	39.4073951	-13.79160468	K106		31.5855782	-8.376183587	-12.52092586
DH0688_MMIR_KAL	-1.978898885	57.82355257	-14.5960715	K107		38.16937905	-5.657046412	-11.18485934
DH0689_MMIR_KAL	-4.179706217	58.29909013	-12.13475823	K108		38.16453638	-5.226978208	-10.00671277
DH0690_MMIR_KAL	-10.39835369	44.9856523	-13.55327477	K109		32.94927995	-3.343495106	-10.25212132
DH0691_MMIR_KAL	-11.6494344	45.08217708	-14.18239185	K110		32.94099004	-2.81748051	-10.29408993
DH0692_MMIR_KAL	-14.41477785	45.97744514	-13.00831206	K111		33.10136128	-1.994406866	-9.465849638
DH0693_MMIR_KAL	-11.4629901	53.27006756	-13.85067951	K112		35.98252821	-2.638960629	-9.830848834
DH0694_MMIR_KAL	-13.92662246	56.54260656	-13.92123255	K113		37.07736677	-1.659612672	-9.367408206
DH0695_MMIR_KAL	-12.71547647	53.45290677	-13.81306282	K114		35.98682995	-2.203970918	-9.637342678
DH0696_MMIR_KAL	-14.39721605	51.05028909	-13.89298002	K115		35.01259866	-1.695242197	-9.543655248
DH0697_MMIR_KAL	-15.7889929	41.02104249	-13.3025846	K116		31.19996476	-1.652294359	-9.605372719
DH0698_MMIR_KAL	-18.22018958	42.10878152	-13.74349826	K117		31.49552645	-0.709071517	-9.374628572
DH0699_MMIR_KAL	-18.95746631	45.88295488	-11.74516957	K118		32.80270167	-0.603389109	-8.407657511
DH0700_MMIR_KAL	-15.24941186	43.75599757	-9.773278329	K119		32.14024855	-2.242882639	-8.330082478
DH0707_NSEQ	-18.45768214	43.41136839	-10.42658222	K120		31.87105722	-1.051123711	-8.131638394
DH0708_NSEQ	-17.26523208	49.66742056	-12.82506608	K121		34.32458306	-0.902275129	-8.842136908
DH0709_NSEQ	-17.29031036	54.90340898	-13.47264673	K122		36.28740119	-0.616187951	-8.824372018
DH0701_MMIR_KAL	-18.8033848	54.39666207	-14.24704407	K123		36.04613805	-0.000193151	-8.908286686
DH0711_NSEQ	-19.61036057	50.12648057	-12.53840442	K124		34.36970545	-0.114343972	-8.399465712
DH0702_MMIR_KAL	-19.09255406	45.83603322	-11.84155561	K125		32.78133083	-0.544587567	-8.42468039
DH0703_MMIR_KAL	-24.17783972	45.99826365	-15.39601636	K126		32.69116974	1.726812522	-8.951808586
DH0707_MMIR_KAL	-23.62464721	44.2124801	-14.77049961	K127		32.0371458	1.383186718	-8.892302412
DH0709_MMIR_KAL	-26.85502465	44.42710994	-15.39862328	K128		31.97388831	2.598850041	-8.656554261
DH0710_MMIR_KAL	-26.132474	46.59623897	-14.57903791	K129		32.79196138	2.309183025	-8.372447145
