targetid,ordernumber,organism,species,sample_id,sample_id_old,site,annotation,orig_x,orig_y,orig_z,world_x,world_y,world_z,agisoft_x,agisoft_y,agisoft_z,clone_lineage,clade,shape_id,lat,lon
2795730,DMadr22-6918,Madracis,-,DH0335_MMIR_SNA,mmir_sna_350,Snake Bay,SB159,-39.7117,-1.64433,-20.163,-30.32175798,5.571676031,-8.832281409,-60.84116022,-225.5601062,36.43276409,89,Major,46_sna,12.138986,-68.997639
2795731,DMadr22-6918,Madracis,-,DH0336_MMIR_SNA,mmir_sna_352,Snake Bay,SB160,-38.1642,0.863283,-20.8519,-31.04371835,5.818040197,-9.120276014,-62.08775716,-225.160597,36.07272756,89,Major,46_sna,12.138986,-68.997639
2795352,DMadr22-6918,Madracis,-,DH0337_MMIR_SNA,mmir_sna_369,Snake Bay,SB169,28.3567,22.1901,-22.4107,-38.12518204,20.54081404,-18.47783536,-75.44003226,-201.3181215,20.71128933,190,Minor,84_sna,12.138986,-68.997639
2795353,DMadr22-6918,Madracis,-,DH0338_MMIR_SNA,mmir_sna_371,Snake Bay,SB170,23.6301,7.95413,-18.9824,-34.12348477,19.9822069,-17.54846484,-68.64941015,-202.2458081,21.53704971,67,Major,83_sna,12.138986,-68.997639
2795354,DMadr22-6918,Madracis,-,DH0339_MMIR_SNA,mmir_sna_373,Snake Bay,SB171,17.9107,6.96923,-17.2958,-33.69253697,18.94772949,-16.36691252,-67.7219583,-203.8764909,23.49480153,67,Major,82_sna,12.138986,-68.997639
2795355,DMadr22-6918,Madracis,-,DH0340_MMIR_SNA,mmir_sna_375,Snake Bay,SB172,20.2862,7.53209,-18.9654,-33.94290062,19.23329634,-17.06752576,-68.26641502,-203.4548121,22.36058442,0,Minor,82_sna,12.138986,-68.997639
2795356,DMadr22-6918,Madracis,-,DH0341_MMIR_SNA,mmir_sna_377,Snake Bay,SB173,14.8511,3.4969,-15.6001,-32.65112555,18.51097754,-15.6679776,-65.87071726,-204.5646585,24.48939503,188,Minor,73_sna,12.138986,-68.997639
2795357,DMadr22-6918,Madracis,-,DH0342_MMIR_SNA,mmir_sna_379,Snake Bay,SB174,12.0848,1.57502,-14.4396,-32.04614116,18.06123338,-15.07361701,-64.7613672,-205.2748284,25.39484557,188,Minor,73_sna,12.138986,-68.997639
2795358,DMadr22-6918,Madracis,-,DH0343_MMIR_SNA,mmir_sna_381,Snake Bay,SB175,13.9837,23.605,-18.7533,-38.09848744,17.8565451,-15.49301386,-74.85443008,-205.535505,25.86374167,90,Major,71_sna,12.138986,-68.997639
2795359,DMadr22-6918,Madracis,-,DH0344_MMIR_SNA,mmir_sna_383,Snake Bay,SB176,12.975,18.3569,-17.4345,-36.63633409,17.82363688,-15.24632713,-72.38927976,-205.597464,25.99756783,0,Minor,70_sna,12.138986,-68.997639
2794476,DMadr22-6918,Madracis,-,DH0345_MMIR_SNA,mmir_sna_385,Snake Bay,SB177,4.31347,7.44829,-14.712,-33.4653443,16.27758685,-13.77011785,-66.87822272,-208.1062482,27.96708177,91,Major,56_sna,12.138986,-68.997639
2796050,DMadr22-6918,Madracis,-,DH0345_MMIR_SNA,mmir_sna_385,Snake Bay,,,,,,,,,,,91,Major,56_sna,12.138986,-68.997639
2794477,DMadr22-6918,Madracis,-,DH0346_MMIR_SNA,mmir_sna_387,Snake Bay,SB178,4.04175,10.3653,-15.0976,-34.25038391,16.16056006,-13.70725483,-68.16596533,-208.2808192,28.22925776,90,Major,56_sna,12.138986,-68.997639
2796051,DMadr22-6918,Madracis,-,DH0346_MMIR_SNA,mmir_sna_387,Snake Bay,,,,,,,,,,,90,Major,56_sna,12.138986,-68.997639
2794478,DMadr22-6918,Madracis,-,DH0347_MMIR_SNA,mmir_sna_389,Snake Bay,SB179,4.5059,15.9021,-16.6667,-35.78643567,16.03403056,-13.91861445,-70.74814205,-208.4796692,28.18120785,92,Major,56_sna,12.138986,-68.997639
2796052,DMadr22-6918,Madracis,-,DH0347_MMIR_SNA,mmir_sna_389,Snake Bay,,,,,,,,,,,92,Major,56_sna,12.138986,-68.997639
2794479,DMadr22-6918,Madracis,-,DH0348_MMIR_SNA,mmir_sna_391,Snake Bay,SB180,4.24255,19.7164,-17.4117,-36.82234883,15.86584287,-13.90353534,-72.46041833,-208.7385241,28.41619274,90,Major,56_sna,12.138986,-68.997639
2796053,DMadr22-6918,Madracis,-,DH0348_MMIR_SNA,mmir_sna_391,Snake Bay,,,,,,,,,,,90,Major,56_sna,12.138986,-68.997639
2794480,DMadr22-6918,Madracis,-,DH0349_MMIR_SNA,mmir_sna_393,Snake Bay,SB181,1.61696,18.9641,-17.1459,-36.56032588,15.31516406,-13.48541542,-71.95277913,-209.6246243,29.10383572,90,Major,56_sna,12.138986,-68.997639
2796054,DMadr22-6918,Madracis,-,DH0349_MMIR_SNA,mmir_sna_393,Snake Bay,,,,,,,,,,,90,Major,56_sna,12.138986,-68.997639
2794481,DMadr22-6918,Madracis,-,DH0350_MMIR_SNA,mmir_sna_395,Snake Bay,SB182,1.95916,15.2639,-16.0176,-35.54445481,15.55814205,-13.42259622,-70.25816909,-209.2345841,28.99503495,90,Major,56_sna,12.138986,-68.997639
2796055,DMadr22-6918,Madracis,-,DH0350_MMIR_SNA,mmir_sna_395,Snake Bay,,,,,,,,,,,90,Major,56_sna,12.138986,-68.997639
2794482,DMadr22-6918,Madracis,-,DH0351_MMIR_SNA,mmir_sna_397,Snake Bay,SB183,1.76409,8.23607,-15.0701,-33.63537999,15.65194405,-13.44469369,-67.10357384,-209.116503,28.58960332,90,Major,56_sna,12.138986,-68.997639
2796056,DMadr22-6918,Madracis,-,DH0351_MMIR_SNA,mmir_sna_397,Snake Bay,,,,,,,,,,,90,Major,56_sna,12.138986,-68.997639
2794483,DMadr22-6918,Madracis,-,DH0352_MMIR_SNA,mmir_sna_399,Snake Bay,SB184,-1.17807,8.5823,-14.7046,-33.65701309,15.04549699,-12.91683603,-67.0448385,-210.0809078,29.51688719,91,Major,56_sna,12.138986,-68.997639
2796057,DMadr22-6918,Madracis,-,DH0352_MMIR_SNA,mmir_sna_399,Snake Bay,,,,,,,,,,,91,Major,56_sna,12.138986,-68.997639
2795448,DMadr22-6918,Madracis,-,DH0354_MMIR_SNA,mmir_sna_403,Snake Bay,SB186,-0.131624,16.4679,-16.6229,-35.84254932,14.99894962,-13.20426508,-70.71505589,-210.1407728,29.4592427,90,Major,56_sna,12.138986,-68.997639
2795451,DMadr22-6918,Madracis,-,DH0357_MMIR_SNA,mmir_sna_409,Snake Bay,SB189,-5.70339,16.4846,-16.0956,-35.71815637,13.82565017,-12.26509306,-70.34200177,-212.0165432,31.08622481,92,Major,56_sna,12.138986,-68.997639
