shape_id	n_points	z_min	z_max	z_range	area_2d	perimeter	Environment	Site
46_kal	909	-15.70377605905565	-15.245538991037556	0.4582370680180947	0.09241541070766135	1.3021021584820176	Slope	Playa Kalki
47_kal	87	-15.965217466756169	-15.65615833975594	0.30905912700022853	0.006125259936181561	0.31804204310702305	Slope	Playa Kalki
48_kal	935	-18.253902169661536	-17.5139201445298	0.7399820251317379	0.12902797822117032	1.4597605125456088	Slope	Playa Kalki
49_kal	2593	-17.502213482015605	-15.730523124165414	1.7716903578501917	0.28222661831622037	2.371093082947318	Slope	Playa Kalki
5_kal	35662	-9.626845345075612	-7.16722232019718	2.4596230248784323	3.229067460110663	14.024357389792609	Crest	Playa Kalki
50_kal	31	-18.002904639598995	-17.919024238691243	0.08388040090775206	0.015394884315358077	0.5119477145154152	Slope	Playa Kalki
51_kal	809	-19.87066676374803	-18.192994188694804	1.6776725750532258	0.03256767270695538	0.7305987821354057	Slope	Playa Kalki
52_kal	468	-18.068679713019804	-16.975000508064156	1.0936792049556487	0.038651709527265696	0.8173353268072079	Slope	Playa Kalki
53_kal	16365	-16.822807629661014	-12.968239923522658	3.854567706138356	2.1039786849232542	7.939300299343637	Slope	Playa Kalki
54_kal	7	-16.660984773060406	-14.556042345800554	2.104942427259852	0.0009545300156552524	0.12921246430660294	Slope	Playa Kalki
55_kal	152	-15.732833979074487	-14.313086076205721	1.4197479028687656	0.01485544942133941	0.4961307067461579	Slope	Playa Kalki
56_kal	2307	-14.550797019956455	-13.105497609293632	1.4452994106628232	0.20167940215016922	2.4790975780289366	Slope	Playa Kalki
57_kal	1136	-14.427897173326803	-13.085006326791103	1.3428908465357008	0.08268610311214232	1.1922106261443188	Slope	Playa Kalki
58_kal	21322	-14.541987229758357	-12.622665848611653	1.9193213811467036	1.5313830989551447	9.26251913819537	Slope	Playa Kalki
59_kal	783	-14.2173634804873	-13.65689557700768	0.5604679034796209	0.08990036684331867	1.5390199961450342	Slope	Playa Kalki
6_kal	2436	-9.370741965688401	-8.634923356302707	0.735818609385694	0.2063045850280118	3.2187946465668897	Crest	Playa Kalki
60_kal	2700	-15.154871566044797	-12.586337188432303	2.568534377612494	0.20457752387936415	2.2753597337013103	Slope	Playa Kalki
61_kal	1298	-12.620268340565922	-10.997757789147602	1.6225105514183191	0.07777579297193192	1.2474237198558231	Slope	Playa Kalki
61_kal	1298	-12.620268340565922	-10.997757789147602	1.6225105514183191	0.07777579297193192	1.2474237198558231	Crest	Playa Kalki
62_kal	11768	-15.356552158751583	-12.40275445885967	2.953797699891913	0.9300896782928254	5.607772731650517	Slope	Playa Kalki
62_kal	11768	-15.356552158751583	-12.40275445885967	2.953797699891913	0.9300896782928254	5.607772731650517	Crest	Playa Kalki
