NR INDV clone_lineage LOC Depth CLADE
163 DH0163_MMIR_KAL_SHA 0 KAL reef_flat Major
164 DH0164_MMIR_KAL_SHA 49 KAL reef_flat Major
165 DH0165_MMIR_KAL_SHA 0 KAL reef_flat Major
166 DH0166_MMIR_KAL_SHA 54 KAL reef_flat Major
167 DH0167_MMIR_KAL_SHA 49 KAL reef_flat Major
168 DH0168_MMIR_KAL_SHA 54 KAL reef_flat Major
169 DH0169_MMIR_KAL_SHA 54 KAL reef_flat Major
170 DH0170_MMIR_KAL_SHA 58 KAL reef_flat Major
171 DH0171_MMIR_KAL_SHA 58 KAL reef_flat Major
172 DH0172_MMIR_KAL_SHA 58 KAL reef_flat Major
173 DH0173_MMIR_KAL_SHA 0 KAL reef_flat Major
174 DH0174_MMIR_KAL_SHA 54 KAL reef_flat Major
175 DH0182_MMIR_SNA_HEL 0 SNA reef_slope Minor
176 DH0183_MMIR_SNA_HEL 0 SNA reef_slope Minor
177 DH0184_MMIR_SNA_HEL 0 SNA reef_slope Minor
178 DH0185_MMIR_SNA_HEL 0 SNA reef_slope Major
179 DH0186_MMIR_SNA_HEL 0 SNA reef_slope Major
180 DH0187_MMIR_SNA_HEL 0 SNA reef_slope Major
181 DH0188_MMIR_SNA_HEL 0 SNA reef_slope Major
182 DH0189_MMIR_SNA_HEL 0 SNA reef_slope Minor
183 DH0190_MMIR_SNA_HEL 0 SNA reef_slope Major
184 DH0191_MMIR_SNA_HEL 0 SNA reef_slope Major
185 DH0192_MMIR_SNA_HEL 0 SNA reef_slope Major
186 DH0193_MMIR_SNA 183 SNA reef_slope Minor
187 DH0194_MMIR_SNA 183 SNA reef_slope Minor
188 DH0195_MMIR_SNA 183 SNA reef_slope Minor
189 DH0196_MMIR_SNA 183 SNA reef_slope Minor
190 DH0197_MMIR_SNA 67 SNA reef_slope Major
191 DH0198_MMIR_SNA 183 SNA reef_slope Minor
192 DH0199_MMIR_SNA 183 SNA reef_slope Minor
193 DH0200_MMIR_SNA 68 SNA reef_slope Major
194 DH0200_MMIR_SNA_HEL 0 SNA reef_slope Major
195 DH0201_MMIR_SNA 68 SNA reef_slope Major
196 DH0202_MMIR_SNA 68 SNA reef_slope Major
197 DH0203_MMIR_SNA 68 SNA reef_slope Major
198 DH0204_MMIR_SNA 70 SNA reef_slope Major
199 DH0205_MMIR_SNA 70 SNA reef_slope Major
200 DH0206_MMIR_SNA 70 SNA reef_slope Major
201 DH0207_MMIR_SNA 70 SNA reef_slope Major
202 DH0208_MMIR_SNA 70 SNA reef_slope Major
203 DH0209_MMIR_SNA 70 SNA reef_slope Major
204 DH0210_MMIR_SNA 70 SNA reef_slope Major
205 DH0211_MMIR_SNA 70 SNA reef_slope Major
206 DH0212_MMIR_SNA 70 SNA reef_slope Major
207 DH0213_MMIR_SNA 70 SNA reef_slope Major
208 DH0214_MMIR_SNA 70 SNA reef_slope Major
209 DH0215_MMIR_SNA 70 SNA reef_slope Major
210 DH0216_MMIR_SNA 70 SNA reef_slope Major
211 DH0217_MMIR_SNA 70 SNA reef_slope Major
212 DH0218_MMIR_SNA 70 SNA reef_slope Major
213 DH0219_MMIR_SNA 70 SNA reef_slope Major
214 DH0220_MMIR_SNA 70 SNA reef_slope Major
215 DH0221_MMIR_SNA 70 SNA reef_slope Major
216 DH0222_MMIR_SNA 70 SNA reef_slope Major
217 DH0223_MMIR_SNA 70 SNA reef_slope Major
218 DH0224_MMIR_SNA 0 SNA reef_slope Major
219 DH0225_MMIR_SNA 72 SNA reef_slope Major
220 DH0226_MMIR_SNA 73 SNA reef_slope Major
221 DH0227_MMIR_SNA 70 SNA reef_slope Major
222 DH0229_MMIR_SNA 70 SNA reef_slope Major
223 DH0230_MMIR_SNA 70 SNA reef_slope Major
224 DH0231_MMIR_SNA 70 SNA reef_slope Major
225 DH0232_MMIR_SNA 70 SNA reef_slope Major
226 DH0233_MMIR_SNA 70 SNA reef_slope Major
227 DH0234_MMIR_SNA 70 SNA reef_slope Major
228 DH0235_MMIR_SNA 70 SNA reef_slope Major
229 DH0236_MMIR_SNA 70 SNA reef_slope Major
230 DH0238_MMIR_SNA 70 SNA reef_slope Major
231 DH0239_MMIR_SNA 70 SNA reef_slope Major
232 DH0240_MMIR_SNA 72 SNA reef_slope Major
233 DH0241_MMIR_SNA 74 SNA reef_slope Major
234 DH0242_MMIR_SNA 74 SNA reef_slope Major
235 DH0243_MMIR_SNA 8 SNA reef_slope Major
236 DH0244_MMIR_SNA 8 SNA reef_slope Major
237 DH0245_MMIR_SNA 10 SNA reef_slope Major
238 DH0246_MMIR_SNA 8 SNA reef_slope Major
239 DH0247_MMIR_SNA 10 SNA reef_slope Major
240 DH0248_MMIR_SNA 8 SNA reef_slope Major
241 DH0249_MMIR_SNA 10 SNA reef_slope Major
242 DH0250_MMIR_SNA 8 SNA reef_slope Major
243 DH0251_MMIR_SNA 17 SNA reef_slope Major
244 DH0252_MMIR_SNA 8 SNA reef_slope Major
245 DH0253_MMIR_SNA 75 SNA reef_slope Major
246 DH0254_MMIR_SNA 184 SNA reef_slope Minor
247 DH0255_MMIR_SNA 75 SNA reef_slope Major
248 DH0256_MMIR_SNA 184 SNA reef_slope Minor
249 DH0257_MMIR_SNA 0 SNA reef_slope Major
250 DH0258_MMIR_SNA 67 SNA reef_slope Major
251 DH0259_MMIR_SNA 75 SNA reef_slope Major
252 DH0260_MMIR_SNA 75 SNA reef_slope Major
253 DH0261_MMIR_SNA 75 SNA reef_slope Major
254 DH0265_MMIR_SNA 185 SNA reef_slope Minor
255 DH0266_MMIR_SNA 75 SNA reef_slope Major
256 DH0267_MMIR_SNA 75 SNA reef_slope Major
257 DH0268_MMIR_SNA 75 SNA reef_slope Major
258 DH0269_MMIR_SNA 75 SNA reef_slope Major
259 DH0270_MMIR_SNA 75 SNA reef_slope Major
260 DH0271_MMIR_SNA 185 SNA reef_slope Minor
261 DH0272_MMIR_SNA 77 SNA reef_slope Major
262 DH0273_MMIR_SNA 77 SNA reef_slope Major
263 DH0274_MMIR_SNA 185 SNA reef_slope Minor
264 DH0275_MMIR_SNA 67 SNA reef_slope Major
265 DH0276_MMIR_SNA 67 SNA reef_slope Major
266 DH0277_MMIR_SNA 73 SNA reef_slope Major
267 DH0278_MMIR_SNA 67 SNA reef_slope Major
268 DH0281_MMIR_SNA 185 SNA reef_slope Minor
269 DH0282_MMIR_SNA 0 SNA reef_slope Major
270 DH0283_MMIR_SNA 185 SNA reef_slope Minor
271 DH0284_MMIR_SNA 185 SNA reef_slope Minor
272 DH0285_MMIR_SNA 75 SNA reef_slope Major
273 DH0286_MMIR_SNA 73 SNA reef_slope Major
274 DH0287_MMIR_SNA 73 SNA reef_slope Major
275 DH0289_MMIR_SNA 79 SNA reef_slope Major
